song,valence,arousal,marker,songtrials.thisRepN,songtrials.thisTrialN,songtrials.thisN,songtrials.thisIndex,begin.keys,begin.rt,arousalkey.keys,arousalkey.rt,valencekey.keys,valencekey.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,space,1.183788801999981,,,,,999,001,2019_Mar_25_1440,MusicAffectPsychophysiology2019,3.0.5,59.83158318796715,
,,,,,,,,,,1,1.7209773209997365,,,999,001,2019_Mar_25_1440,MusicAffectPsychophysiology2019,3.0.5,59.83158318796715,
,,,,,,,,,,,,1,0.602129961999708,999,001,2019_Mar_25_1440,MusicAffectPsychophysiology2019,3.0.5,59.83158318796715,
30MonoWAV/30MonoF3.wav,1,2,22,0,0,0,2,,,1,2.338448414000595,1,0.4020008620000226,999,001,2019_Mar_25_1440,MusicAffectPsychophysiology2019,3.0.5,59.83158318796715,
