song,valence,arousal,marker,songtrials.thisRepN,songtrials.thisTrialN,songtrials.thisN,songtrials.thisIndex,begin.keys,begin.rt,arousalkey.keys,arousalkey.rt,valencekey.keys,valencekey.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,space,3.7871606700000484,,,,,999,001,2019_Mar_25_1446,MusicAffectPsychophysiology2019,3.0.5,59.788032412458044,
,,,,,,,,,,1,1.6532105070000398,,,999,001,2019_Mar_25_1446,MusicAffectPsychophysiology2019,3.0.5,59.788032412458044,
,,,,,,,,,,,,1,0.3024564850002207,999,001,2019_Mar_25_1446,MusicAffectPsychophysiology2019,3.0.5,59.788032412458044,
30MonoWAV/30MonoH4.wav,2,2,27,0,0,0,7,,,1,1.1697062749999532,1,0.3358346460008761,999,001,2019_Mar_25_1446,MusicAffectPsychophysiology2019,3.0.5,59.788032412458044,
