songtrials.thisRepN,songtrials.thisTrialN,songtrials.thisN,songtrials.thisIndex,song,valence,arousal,marker,begin.keys,begin.rt,arousalkey.keys,arousalkey.rt,valencekey.keys,valencekey.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,space,1.2220932760001233,,,,,999,001,2019_Mar_25_1437,MusicAffectPsychophysiology2019,3.0.5,59.660343284885336,
,,,,,,,,,,1,3.555210041999999,,,999,001,2019_Mar_25_1437,MusicAffectPsychophysiology2019,3.0.5,59.660343284885336,
,,,,,,,,,,,,1,0.8190930149994529,999,001,2019_Mar_25_1437,MusicAffectPsychophysiology2019,3.0.5,59.660343284885336,
