songtrials.thisRepN,songtrials.thisTrialN,songtrials.thisN,songtrials.thisIndex,song,valence,arousal,marker,begin.keys,begin.rt,arousalkey.keys,arousalkey.rt,valencekey.keys,valencekey.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,space,3.156553262961097,,,,,999,001,2019_Apr_09_1021,MusicAffectPsychophysiology2019,3.0.5,60.18174647499831,
,,,,,,,,,,2,1.4208482260582969,,,999,001,2019_Apr_09_1021,MusicAffectPsychophysiology2019,3.0.5,60.18174647499831,
,,,,,,,,,,,,2,0.46904816199094057,999,001,2019_Apr_09_1021,MusicAffectPsychophysiology2019,3.0.5,60.18174647499831,
