trialunique,ACTIVE_rating,ALERT_rating,ANGRY_rating,ANXIOUS_rating,ASHAMED_rating,EXCITED_rating,FRUSTRATED_rating,GUILTY_rating,HAPPY_rating,SAD_rating,SCARED_rating,TENDER_rating,ACTIVE_RT,ALERT_RT,ANGRY_RT,ANXIOUS_RT,ASHAMED_RT,EXCITED_RT,FRUSTRATED_RT,GUILTY_RT,HAPPY_RT,SAD_RT,SCARED_RT,TENDER_RT,id,songmark,affectcat,targetemotion,valence,arousal,valencekey.keys,valencekey.rt,arousalkey.keys,likekey.keys,likekey.rt,prac,depression,EOT,DDF,DIF,TAS,gender_recoded,musichours,yearsplay
1_7_2,4,4,1,2,1,5,1,2,5,2,1,3,1.2361304969999765,1.0350987349993375,1.239517349999005,1.1198463609998726,1.0032889039994188,1.0033177270015585,1.3724612400001206,1.0504046559999551,0.9518500030007999,1.083255976000146,1.0359881260010297,1.1039414379993104,1,7,High Arousal/Positive Valence,Happy,Positive,high,5,1.5021538010005315,5,NA,NA,trial,3,16,15,15,46,male,1,5+
1_8_1,4,3,1,1,1,4,1,1,4,1,1,2,0.9854358370002956,1.4228426750005383,1.1031470440002522,1.1350402789994405,1.0838194670004668,1.4533786080000937,1.0068641010002466,1.1529066550001517,2.0034804530005204,1.3197506340002292,1.1534441690000676,2.1044590470000912,1,8,High Arousal/Positive Valence,Happy,Positive,high,4,1.2187767429995802,4,NA,NA,trial,3,16,15,15,46,male,1,5+
1_8_2,3,3,1,1,2,4,1,1,5,1,1,1,1.1848957879992668,1.1371969749998243,1.9675188420005725,1.653691290000097,1.6512058339994837,0.8868707479996374,1.7369404920000306,1.9051079419996313,2.17321975699997,2.1509434069994313,2.9185239879998335,1.3837929780002014,1,8,High Arousal/Positive Valence,Happy,Positive,high,4,2.2025112000001172,4,NA,NA,trial,3,16,15,15,46,male,1,5+
1_9_1,1,3,2,4,3,1,2,3,1,2,4,2,2.9506813170000896,1.466726094000478,2.467424246000519,1.2014955120002924,3.351402183000573,3.10266823999973,1.9344258769997396,1.73464752900054,1.867946227000175,2.8824455149997448,1.8523220260003654,1.8013400270001512,1,9,Low Arousal/Negative Valence,Sad,Negative,Low,2,3.134214850999342,2,NA,NA,trial,3,16,15,15,46,male,1,5+
1_9_2,1,1,1,3,3,1,2,4,1,3,2,3,2.201607948999481,1.4024913379998907,0.9682186700001694,3.401822212999832,1.2180909570006406,2.6014512080000713,1.30072272399957,1.4179900359995372,1.5015404910000143,1.6360434520001945,1.6663736210002753,1.5848946249998335,1,9,Low Arousal/Negative Valence,Sad,Negative,Low,2,3.3682834420005747,1,NA,NA,trial,3,16,15,15,46,male,1,5+
10_1_1,2,2,3,3,1,2,4,1,1,1,2,1,2.5519063449992245,2.433149644999503,2.901789825000378,1.9179933599989454,1.9683683359999122,2.9520683729988377,2.6685339840005327,2.3695707000006223,3.718141820998426,4.383610498000053,2.0840352430004714,1.7016992209992168,10,1,High Arousal/Negative Valence,Fear,Negative,high,1,3.06900807600141,3,NA,NA,trial,4,13,18,11,42,female,2,5+
10_1_2,3,4,1,4,1,2,2,1,1,1,2,1,4.6341752909993374,3.702655983001023,2.168015902001571,3.2016756189987063,2.0852467739987333,2.5688260330007324,2.6674056439987908,1.9354025869997713,1.2494086070000776,2.501259241000298,2.634980678998545,2.2179007810009352,10,1,High Arousal/Negative Valence,Fear,Negative,high,1,4.084940912000093,3,NA,NA,trial,4,13,18,11,42,female,2,5+
10_10_1,1,2,1,1,1,2,1,1,2,3,1,4,2.5676681360000657,9.095818223000606,1.1362582849997125,3.3550660830005654,1.7671353429996088,2.0355573360011476,1.2353169199996046,2.017645530999289,7.067437921999954,1.999353314999098,2.5013857249996363,3.8090088949993515,10,10,Low Arousal/Negative Valence,Sad,Negative,Low,4,5.457986116998654,1,NA,NA,trial,4,13,18,11,42,female,2,5+
10_10_2,1,1,1,1,3,1,1,2,1,4,1,2,2.2346135829993727,1.6514177700009895,1.1528219640003954,2.0347195169997576,2.384501171000011,1.6024186169997847,2.086039198000435,1.9349315200015553,2.4843425330000173,1.95140057000026,2.584338716000275,2.4018194990003394,10,10,Low Arousal/Negative Valence,Sad,Negative,Low,3,2.7850099520001095,1,NA,NA,trial,4,13,18,11,42,female,2,5+
10_11_1,1,1,1,2,2,1,1,3,1,4,1,1,2.599540445000457,3.0019725040001504,2.0340088670000114,2.3179984979997243,3.034514525999839,2.6010827569989488,3.1357887699996354,2.449898979999489,3.3340462570013187,2.05187181600013,3.2180865919999633,2.684590376000415,10,11,Low Arousal/Negative Valence,Sad,Negative,Low,2,2.9163416780011175,1,NA,NA,trial,4,13,18,11,42,female,2,5+
10_11_2,1,1,1,2,2,1,2,3,1,4,1,1,1.901482462999411,1.3522607630002312,3.218368837999151,2.7324398269993253,3.4683700099994894,2.8686870239998825,6.284559370998977,2.6521495429988136,1.5691182319988002,1.915845810999599,1.7680453149987443,2.134030975999849,10,11,Low Arousal/Negative Valence,Sad,Negative,Low,2,8.566940015,1,NA,NA,trial,4,13,18,11,42,female,2,5+
10_12_1,1,1,1,1,1,2,1,2,2,5,1,2,1.8699429259995668,5.301396001999819,3.186470172000554,4.084629414999654,2.5669129180005257,4.567785825998726,2.551657136000358,4.301724285000091,4.118723826999485,4.000756712999646,6.117880976000379,2.0179820419998578,10,12,Low Arousal/Negative Valence,Sad,Negative,Low,3,4.123025500999574,1,NA,NA,trial,4,13,18,11,42,female,2,5+
10_12_2,1,1,1,1,2,1,1,2,1,4,1,3,1.486480933999701,2.2507993929993972,1.28519773699918,2.2847219119994406,1.5173049510012788,3.050927749998664,2.117143675000989,1.418063434999567,1.7683512519997748,2.5502871759999834,1.2182404959985433,4.301534999000069,10,12,Low Arousal/Negative Valence,Sad,Negative,Low,2,4.300868148999143,1,NA,NA,trial,4,13,18,11,42,female,2,5+
10_13_1,1,1,1,1,1,2,1,1,2,3,1,4,2.684222439000223,2.6350452930000756,1.2188731120004377,2.2686550580001494,2.034847365001042,3.3838772509989212,2.4681264569990162,2.433263105000151,3.2340229370001907,2.3011919210002816,2.6015714969998953,3.1515942070000165,10,13,Low Arousal/Positve Valence,Tender,Positive,Low,3,3.735025478001262,2,NA,NA,trial,4,13,18,11,42,female,2,5+
10_13_2,1,1,1,1,1,1,1,1,3,2,1,4,1.7186458690011932,1.8827805910004827,1.918960265998976,1.7179535870000109,2.0687902530007705,2.18426325099972,1.7849582170001668,1.5664089379988582,3.0677782269995078,3.9009963199987396,1.5691766670006473,2.2182523179999407,10,13,Low Arousal/Positve Valence,Tender,Positive,Low,3,2.884957176998796,1,NA,NA,trial,4,13,18,11,42,female,2,5+
10_14_1,1,3,2,3,1,1,3,1,2,2,1,2,2.2344218939997518,1.716986547999113,5.28359657799956,3.485928389000037,5.168494482000824,4.9011964189994615,3.251782433000699,1.9015015610002592,2.9351814959991316,2.6016877350011782,1.734820801000751,2.5516092289999506,10,14,Low Arousal/Positve Valence,Tender,Positive,Low,2,2.918413359000624,1,NA,NA,trial,4,13,18,11,42,female,2,5+
10_14_2,1,1,1,3,1,1,3,1,2,3,1,2,1.900705502999699,1.4339414080004644,4.368646409000576,2.252177031999963,3.951455938999061,3.45076609500029,4.651614166999934,1.8352002190003986,3.667083004000233,2.8182279520005977,2.035526644998754,5.51831737700013,10,14,Low Arousal/Positve Valence,Tender,Positive,Low,1,3.1184387859993876,1,NA,NA,trial,4,13,18,11,42,female,2,5+
10_15_1,2,2,1,1,1,3,1,1,5,2,1,4,3.634214644000167,2.4852725119999377,2.9848079990006227,1.5186953949996678,2.517888612999741,2.918483739998919,1.8698332130006747,2.7179539619992283,2.9992718379999133,6.500052307999795,1.8184847020002053,2.034193358000266,10,15,Low Arousal/Positve Valence,Tender,Positive,Low,5,3.883694144000401,3,NA,NA,trial,4,13,18,11,42,female,2,5+
10_15_2,1,2,1,1,1,2,1,1,4,2,1,4,1.901353105000453,1.7849920179996843,1.0684284739982104,1.2519318609993206,2.0855521539997426,2.5508362090004084,1.413085886000772,1.384797222999623,1.9690227990013227,3.117931769000279,1.5683144139984506,1.7872297689991683,10,15,Low Arousal/Positve Valence,Tender,Positive,Low,4,2.401826224000615,1,NA,NA,trial,4,13,18,11,42,female,2,5+
10_16_1,2,2,1,1,1,1,1,1,4,2,1,4,3.717195012000957,2.7850743790004344,1.8679672890011716,2.3015470530008315,2.101200005999999,1.5851279280013841,1.5662674750001315,0.985241591999511,2.4832226849994186,2.2015719470000477,1.6180582020006113,3.7192947330004245,10,16,Low Arousal/Positve Valence,Tender,Positive,Low,5,5.018260232000102,2,NA,NA,trial,4,13,18,11,42,female,2,5+
10_16_2,1,2,1,1,1,1,1,1,3,3,1,4,1.685251437998886,2.1182198240003345,2.2518927010005427,1.4678974429989466,3.635125524999239,1.2842502959992999,1.5031077310013643,2.551692948998607,4.935142805999931,4.569443104999664,2.3186626030001207,3.1681009519998042,10,16,Low Arousal/Positve Valence,Tender,Positive,Low,3,2.784999493000214,2,NA,NA,trial,4,13,18,11,42,female,2,5+
10_2_1,1,3,1,4,1,2,1,1,1,1,3,1,2.1523320579999563,2.4018649919999007,3.3356546470004105,2.2848627470011706,2.1345179859999917,1.7521140199987713,2.9183568360003846,3.234857818999444,1.8732328280002548,2.3657610430000204,3.8175682609999058,1.9840020419997018,10,2,High Arousal/Negative Valence,Fear,Negative,high,2,6.867391019000934,1,NA,NA,trial,4,13,18,11,42,female,2,5+
10_2_2,2,4,1,5,1,3,1,1,1,1,4,1,2.7189955779995216,2.7678380079996714,1.6352071639994392,1.7335725120010466,1.5845295609997265,2.468408131000615,2.168469694999658,1.8015298819991585,2.1515784750008606,3.2347203320005065,2.8019369409994397,2.543923052999162,10,2,High Arousal/Negative Valence,Fear,Negative,high,1,2.5492055699996854,3,NA,NA,trial,4,13,18,11,42,female,2,5+
10_3_1,3,3,1,4,1,2,1,1,1,1,2,1,4.118614381999578,5.417445417000636,2.2346556370011967,2.6006050649993995,1.9515896550001344,2.301712070000576,2.834718434000024,1.836031090000688,1.9851931060002244,1.9181405369999993,2.8016380999997637,2.45157795400155,10,3,High Arousal/Negative Valence,Fear,Negative,high,2,4.365633287001401,3,NA,NA,trial,4,13,18,11,42,female,2,5+
10_3_2,2,3,1,4,1,1,1,1,1,1,3,1,3.768426487000397,2.653193508000186,2.2183080009999685,4.202643298000112,2.215383959000974,2.3179753980002715,1.5222191929988185,1.8512981410003704,3.2023335750000115,2.6021426110000903,4.051337039001737,2.0851845409997622,10,3,High Arousal/Negative Valence,Fear,Negative,high,1,2.167887775998679,3,NA,NA,trial,4,13,18,11,42,female,2,5+
10_4_1,2,2,1,4,1,4,1,1,1,2,3,1,3.484984919999988,0.451829537998492,2.049616378000792,4.384985123999286,1.7181991799989191,3.2513019559992244,2.5672815549987718,1.999777526998514,5.10159616799865,2.9663016089998564,3.1181079510006384,1.76618228299958,10,4,High Arousal/Negative Valence,Fear,Negative,high,2,3.3848457999993116,4,NA,NA,trial,4,13,18,11,42,female,2,5+
10_4_2,2,4,1,4,1,3,1,1,1,1,3,1,2.8710576230005245,2.6184292299985827,1.9690477149997605,2.2992451709997113,1.385000686001149,2.984218546000193,2.1351136220000626,2.3902366860002076,3.067589563999718,1.9172502540004643,3.2516109570005938,1.3684132969992788,10,4,High Arousal/Negative Valence,Fear,Negative,high,1,1.8539049409992003,3,NA,NA,trial,4,13,18,11,42,female,2,5+
10_5_1,3,3,1,1,1,2,1,1,4,1,1,1,6.365340616999674,10.800064829998519,1.9011591050002608,1.7685635590005404,1.1525762510009372,1.6853130300005432,1.8680330500010314,2.300860190000094,6.001451164000173,1.769468271999358,2.2680610829993384,2.8510531850006373,10,5,High Arousal/Positive Valence,Happy,Positive,high,3,3.9182087990011496,3,NA,NA,trial,4,13,18,11,42,female,2,5+
10_5_2,2,2,1,1,1,3,1,1,3,1,1,2,3.050648435999392,2.6015551860000414,2.220239414000389,1.1860770279999997,1.6185453420002887,2.1844266960015375,1.8844864320017223,1.7168095800006995,4.151061180999022,2.2992710510006873,2.300331536000158,2.7837808890017186,10,5,High Arousal/Positive Valence,Happy,Positive,high,3,4.351136619001409,3,NA,NA,trial,4,13,18,11,42,female,2,5+
10_6_1,2,3,1,1,1,3,1,1,2,1,1,2,2.868052207999426,2.9735778519989253,2.4685051269989344,2.4676910860016505,5.368339765000201,2.0379462790006073,2.0343123049988208,1.5861535519998142,2.568507261999912,3.3891347409989976,2.221118371000557,3.450800309999977,10,6,High Arousal/Positive Valence,Happy,Positive,high,2,5.201827422999486,3,NA,NA,trial,4,13,18,11,42,female,2,5+
10_6_2,4,3,1,1,1,3,1,1,3,1,1,1,2.9855396459988697,3.1507430889996613,1.7680139610001788,3.001345411001239,2.3352956939997966,3.8841097759996046,1.918810687999212,1.8680047999987437,3.084736440998313,2.116449120001562,3.5014780630008318,2.101525814001434,10,6,High Arousal/Positive Valence,Happy,Positive,high,3,3.3679128350013343,2,NA,NA,trial,4,13,18,11,42,female,2,5+
10_7_1,4,3,1,1,1,4,1,1,3,1,1,2,2.2015823510009795,7.034987913000805,2.0018547260006017,2.9856316530003824,3.1833522450015153,3.735392913000396,2.086495664998438,2.6025685029999295,2.800046696998834,2.017712336000841,2.6174326350010233,2.601606203999836,10,7,High Arousal/Positive Valence,Happy,Positive,high,3,5.051286715999595,4,NA,NA,trial,4,13,18,11,42,female,2,5+
10_7_2,3,4,1,1,1,3,1,1,4,1,1,2,2.6505219070004387,3.9730749580012343,1.9348763030011469,1.6008794030003628,2.1838429549989087,1.8351424499996938,2.103931879999436,1.7369197089992667,2.819013915999676,1.8843323750006675,0.9183332519987744,3.5015350970006693,10,7,High Arousal/Positive Valence,Happy,Positive,high,2,5.117512856999383,3,NA,NA,trial,4,13,18,11,42,female,2,5+
10_8_1,3,3,1,1,1,5,1,1,4,1,1,2,2.635355418000472,2.450867962999837,2.4852129300015804,2.4687014919982175,2.302516404999551,5.383723884999199,1.9676096230014082,1.8661602569991373,2.7512341040001047,1.8018833719997929,1.7188994200005254,2.351294121999672,10,8,High Arousal/Positive Valence,Happy,Positive,high,4,3.874301492000086,4,NA,NA,trial,4,13,18,11,42,female,2,5+
10_8_2,5,3,1,1,1,4,1,1,4,1,1,2,3.2522236810000322,2.9340574850011762,1.5058424029994057,2.8447352980001597,1.2177196819993696,1.6350341500001377,2.117630160000772,1.6010337930001697,2.235330444998908,1.6843709299992042,1.5686442290007108,1.8701088359994174,10,8,High Arousal/Positive Valence,Happy,Positive,high,5,3.950355553000918,4,NA,NA,trial,4,13,18,11,42,female,2,5+
10_9_1,1,1,1,2,2,1,1,2,1,4,1,3,2.4174811619996035,2.7191074209986255,2.6363086530000146,2.189250097000695,8.684746812999947,2.9516879740003787,3.035199764999561,2.967026390000683,8.499034616001154,2.4167738870000903,1.2832343569989462,2.5193938269985665,10,9,Low Arousal/Negative Valence,Sad,Negative,Low,2,3.1022739540003386,1,NA,NA,trial,4,13,18,11,42,female,2,5+
10_9_2,1,1,1,2,2,1,1,3,1,3,1,2,1.7854099070009397,1.852259695999237,3.0514779950008233,1.8351190610010235,1.897992386999249,0.9517756170007488,1.9511736019994714,2.2673289379999915,1.6174796049999713,3.201775853000072,1.6853898739991564,3.3841744649998873,10,9,Low Arousal/Negative Valence,Sad,Negative,Low,1,2.268210717000329,1,NA,NA,trial,4,13,18,11,42,female,2,5+
